Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-07-17,9643.2,9960.16,9082.65,9842.52
2019-07-18,9813.54,10730,9302.33,10593
2019-07-19,10593,10764,10163,10406
2019-07-22,10571,10661,10081,10267
2019-07-23,10277,10341,9881.42,10121
2019-07-24,10121,10142,9551.1,9784.74
2019-07-25,9775.17,10183,9746.59,9891.2
2019-07-26,9891.2,9940.36,9671.18,9861.93
2019-07-29,9442.87,9708.74,9124.09,9505.7
2019-07-30,9505.7,9727.63,9389.67,9578.54
2019-07-31,9587.73,10091,9578.54,10050
2019-08-01,10050,10482,9900.99,10417
2019-08-02,10417,10661,10341,10471
2019-08-05,10965,11947,10953,11737
2019-08-06,11737,12300,11325,11377
2019-08-07,11364,12121,11236,11947
2019-08-08,11947,12019,11521,11723
2019-08-09,11723,12077,11682,11820
2019-08-12,11507,11561,11274,11403
2019-08-13,11403,11442,10776,10870
2019-08-14,10870,10905,10070,10194
2019-08-15,10194,10417,9514.75,10341
2019-08-16,10341,10549,9775.17,10471
2019-08-19,10428,10834,10277,10730
2019-08-20,10718,10953,10582,10799
2019-08-21,10799,10846,9891.2,10060
2019-08-22,10040,10235,9775.17,10142
2019-08-23,10152,10460,10060,10428
2019-08-26,10000,10650,9970.09,10277
2019-08-27,10277,10395,10030,10142
2019-08-28,10142,10277,9596.93,9727.63
2019-08-29,9727.63,9756.1,9345.79,9514.75
2019-08-30,9514.75,9615.38,9372.07,9578.54
2019-09-02,9708.74,10460,9708.74,10384
2019-09-03,10395,10764,10299,10695
2019-09-04,10707,10823,10406,10672
2019-09-05,10672,10695,10482,10560
2019-09-06,10560,10929,10320,10384
2019-09-09,10428,10537,10101,10288
2019-09-10,10288,10384,9940.36,10101
2019-09-11,10101,10225,9871.67,10173
2019-09-12,10173,10417,10050,10417
2019-09-13,10417,10471,10204,10225
2019-09-16,10309,10384,10111,10309
2019-09-17,10309,10331,10152,10225
2019-09-18,10225,10267,10101,10204
2019-09-19,10204,10373,9708.74,10277
2019-09-20,10277,10309,10101,10163
2019-09-23,10060,10081,9689.92,9746.59
2019-09-24,9756.1,9775.17,8064.52,8673.03
2019-09-25,8665.51,8795.07,8250.83,8605.85
2019-09-26,8598.45,8658.01,7782.1,8090.61
2019-09-27,8090.61,8143.32,7886.44,8012.82
2019-09-30,8058.02,8361.2,7739.94,8271.3
2019-10-01,8264.46,8525.15,8210.18,8326.39
2019-10-02,8326.39,8382.23,8183.31,8278.15
2019-10-03,8278.15,8424.6,8103.73,8196.72
2019-10-04,8190.01,8291.87,8064.52,8210.18
2019-10-07,7930.21,8312.55,7788.16,8216.93
2019-10-08,8216.93,8347.25,8116.88,8169.93
2019-10-09,8169.93,8695.65,8130.08,8568.98
2019-10-10,8568.98,8665.51,8474.58,8568.98
2019-10-11,8568.98,8795.07,8298.76,8354.22
2019-10-14,8257.64,8403.36,8230.45,8326.39
2019-10-15,8326.39,8403.36,8130.08,8163.27
2019-10-16,8163.27,8183.31,7930.21,7987.22
2019-10-17,7987.22,8123.48,7949.13,8071.03
2019-10-18,8071.03,8123.48,7849.29,7968.13
2019-10-21,8223.68,8319.47,8169.93,8230.45
2019-10-22,8223.68,8312.55,8097.17,8110.3
2019-10-23,8110.3,8116.88,7336.76,7446.02
2019-10-24,7440.48,7513.15,7369.2,7457.12
2019-10-25,7457.12,8748.91,7418.4,8650.52
2019-10-28,9587.73,9930.49,9285.05,9460.74
2019-10-29,9469.7,9551.1,9107.47,9469.7
2019-10-30,9460.74,9469.7,9033.42,9225.09
2019-10-31,9233.61,9416.2,8976.66,9132.42
2019-11-01,9140.77,9293.68,9074.41,9225.09
2019-11-04,9216.59,9541.98,9132.42,9398.5
2019-11-05,9398.5,9487.67,9199.63,9328.36
2019-11-06,9337.07,9442.87,9267.84,9345.79
2019-11-07,9345.79,9372.07,9107.47,9233.61
2019-11-08,9233.61,9250.69,8688.1,8802.82
2019-11-11,9090.91,9107.47,8620.69,8718.4
2019-11-12,8718.4,8849.56,8576.33,8771.93
2019-11-13,8779.63,8833.92,8718.4,8756.57
2019-11-14,8756.57,8795.07,8576.33,8658.01
2019-11-15,8658.01,8771.93,8410.43,8474.58
2019-11-18,8554.32,8554.32,8084.07,8216.93
2019-11-19,8210.18,8216.93,8032.13,8143.32
2019-11-20,8143.32,8216.93,8051.53,8090.61
2019-11-21,8090.61,8130.08,7446.02,7639.42
2019-11-22,7639.42,7722.01,6816.63,7342.14
2019-11-25,7052.19,7369.2,6557.38,7230.66
2019-11-26,7225.43,7347.54,7052.19,7163.32
2019-11-27,7158.2,7662.84,6872.85,7547.17
2019-11-28,7547.17,7662.84,7396.45,7396.45
2019-11-29,7401.92,7855.46,7390.98,7757.95
2019-12-02,7401.92,7462.69,7194.24,7352.94
2019-12-03,7352.94,7418.4,7262.16,7331.38
2019-12-04,7331.38,7739.94,7112.38,7225.43
2019-12-05,7230.66,7485.03,7178.75,7423.9
2019-12-06,7423.9,7621.95,7336.76,7457.12
2019-12-09,7570.02,7662.84,7304.6,7347.54
2019-12-10,7347.54,7396.45,7189.07,7251.63
